#,Event Id,Event Name,Event Type,Player Id,Attending What,Age,Gender,Nationality,Disability,Event Date,Event Name,Zone
51,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,5/16/2023,Hørgården - Street football,Hørgården - København
52,507,Hørgården - Street football,Street Football,2106120007,"Yes, Something else than sport",10,Male,,No,5/30/2023,Hørgården - Street football,Hørgården - København
53,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,5/30/2023,Hørgården - Street football,Hørgården - København
54,507,Hørgården - Street football,Street Football,2106120029,No,13,Male,,No,5/30/2023,Hørgården - Street football,Hørgården - København
55,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,5/30/2023,Hørgården - Street football,Hørgården - København
56,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,5/30/2023,Hørgården - Street football,Hørgården - København
57,507,Hørgården - Street football,Street Football,2106120007,"Yes, Something else than sport",10,Male,,No,6/6/2023,Hørgården - Street football,Hørgården - København
58,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,6/6/2023,Hørgården - Street football,Hørgården - København
59,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,6/6/2023,Hørgården - Street football,Hørgården - København
60,507,Hørgården - Street football,Street Football,2306120080,No,12,Male,,No,6/6/2023,Hørgården - Street football,Hørgården - København
61,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,6/6/2023,Hørgården - Street football,Hørgården - København
62,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,6/13/2023,Hørgården - Street football,Hørgården - København
63,507,Hørgården - Street football,Street Football,2106120042,No,8,Female,,No,6/13/2023,Hørgården - Street football,Hørgården - København
64,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,6/13/2023,Hørgården - Street football,Hørgården - København
65,507,Hørgården - Street football,Street Football,2306120081,No,6,Male,,No,6/13/2023,Hørgården - Street football,Hørgården - København
66,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,8/22/2023,Hørgården - Street football,Hørgården - København
67,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,8/22/2023,Hørgården - Street football,Hørgården - København
68,507,Hørgården - Street football,Street Football,2306120073,No,9,Female,,No,8/22/2023,Hørgården - Street football,Hørgården - København
69,507,Hørgården - Street football,Street Football,2306120082,No,8,Male,,No,8/22/2023,Hørgården - Street football,Hørgården - København
70,507,Hørgården - Street football,Street Football,2306120083,No,8,Male,,No,8/22/2023,Hørgården - Street football,Hørgården - København
71,507,Hørgården - Street football,Street Football,2106120028,"Yes, Something else than sport",6,Male,,No,8/22/2023,Hørgården - Street football,Hørgården - København
72,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,8/29/2023,Hørgården - Street football,Hørgården - København
73,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,8/29/2023,Hørgården - Street football,Hørgården - København
