#,Event Id,Event Name,Event Type,Player Id,Attending What,Age,Gender,Nationality,Disability,Event Date,Event Name,Zone
1,507,Hørgården - Street football,Street Football,2106120004,"Yes, Something else than sport",12,Female,,No,4/23/2021,Hørgården - Street football,Hørgården - København
2,507,Hørgården - Street football,Street Football,2106120005,No,12,Male,,No,4/23/2021,Hørgården - Street football,Hørgården - København
3,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,4/23/2021,Hørgården - Street football,Hørgården - København
4,507,Hørgården - Street football,Street Football,2106120007,"Yes, Something else than sport",10,Male,,No,4/23/2021,Hørgården - Street football,Hørgården - København
5,507,Hørgården - Street football,Street Football,2106120008,No,12,Male,,No,4/23/2021,Hørgården - Street football,Hørgården - København
6,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,4/23/2021,Hørgården - Street football,Hørgården - København
7,507,Hørgården - Street football,Street Football,2106120010,No,12,Male,,No,4/23/2021,Hørgården - Street football,Hørgården - København
8,507,Hørgården - Street football,Street Football,2106120011,No,10,Male,,No,4/23/2021,Hørgården - Street football,Hørgården - København
9,507,Hørgården - Street football,Street Football,2106120017,No,10,Male,,No,4/30/2021,Hørgården - Street football,Hørgården - København
10,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,4/30/2021,Hørgården - Street football,Hørgården - København
11,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,4/30/2021,Hørgården - Street football,Hørgården - København
12,507,Hørgården - Street football,Street Football,2106120019,"Yes, Something else than sport",13,Male,,No,5/7/2021,Hørgården - Street football,Hørgården - København
13,507,Hørgården - Street football,Street Football,2106120020,No,13,Male,,No,5/7/2021,Hørgården - Street football,Hørgården - København
14,507,Hørgården - Street football,Street Football,2106120005,No,12,Male,,No,5/7/2021,Hørgården - Street football,Hørgården - København
15,507,Hørgården - Street football,Street Football,2106120021,No,12,Male,,No,5/7/2021,Hørgården - Street football,Hørgården - København
16,507,Hørgården - Street football,Street Football,2106120008,No,12,Male,,No,5/7/2021,Hørgården - Street football,Hørgården - København
17,507,Hørgården - Street football,Street Football,2102140004,No,26,Others,,No,5/21/2021,Hørgården - Street football,Hørgården - København
18,507,Hørgården - Street football,Street Football,2106120023,"Yes, Something else than sport",34,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
19,507,Hørgården - Street football,Street Football,2106120021,No,12,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
20,507,Hørgården - Street football,Street Football,2106120024,No,12,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
21,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
22,507,Hørgården - Street football,Street Football,2106120005,No,12,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
23,507,Hørgården - Street football,Street Football,2106120007,"Yes, Something else than sport",10,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
24,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
25,507,Hørgården - Street football,Street Football,2106120019,"Yes, Something else than sport",13,Male,,No,5/21/2021,Hørgården - Street football,Hørgården - København
26,507,Hørgården - Street football,Street Football,2106120005,No,12,Male,,No,6/4/2021,Hørgården - Street football,Hørgården - København
27,507,Hørgården - Street football,Street Football,2106120021,No,12,Male,,No,6/4/2021,Hørgården - Street football,Hørgården - København
28,507,Hørgården - Street football,Street Football,2106120024,No,12,Male,,No,6/4/2021,Hørgården - Street football,Hørgården - København
29,507,Hørgården - Street football,Street Football,2106120008,No,12,Male,,No,6/4/2021,Hørgården - Street football,Hørgården - København
30,507,Hørgården - Street football,Street Football,2106120010,No,12,Male,,No,6/4/2021,Hørgården - Street football,Hørgården - København
31,507,Hørgården - Street football,Street Football,2106120019,"Yes, Something else than sport",13,Male,,No,6/4/2021,Hørgården - Street football,Hørgården - København
32,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,6/4/2021,Hørgården - Street football,Hørgården - København
33,507,Hørgården - Street football,Street Football,2106120025,"Yes, Sport",6,Male,,No,6/11/2021,Hørgården - Street football,Hørgården - København
34,507,Hørgården - Street football,Street Football,2106120026,"Yes, Something else than sport",4,Female,,No,6/11/2021,Hørgården - Street football,Hørgården - København
35,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,6/11/2021,Hørgården - Street football,Hørgården - København
36,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,6/11/2021,Hørgården - Street football,Hørgården - København
37,507,Hørgården - Street football,Street Football,2106120027,No,7,Male,,No,6/11/2021,Hørgården - Street football,Hørgården - København
38,507,Hørgården - Street football,Street Football,2106120028,"Yes, Something else than sport",6,Male,,No,6/11/2021,Hørgården - Street football,Hørgården - København
39,507,Hørgården - Street football,Street Football,2106120024,No,12,Male,,No,6/18/2021,Hørgården - Street football,Hørgården - København
40,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,6/18/2021,Hørgården - Street football,Hørgården - København
41,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
42,507,Hørgården - Street football,Street Football,2106120007,"Yes, Something else than sport",10,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
43,507,Hørgården - Street football,Street Football,2106120029,No,13,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
44,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
45,507,Hørgården - Street football,Street Football,2106120019,"Yes, Something else than sport",13,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
46,507,Hørgården - Street football,Street Football,2106120021,No,12,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
47,507,Hørgården - Street football,Street Football,2106120030,No,12,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
48,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,8/6/2021,Hørgården - Street football,Hørgården - København
